,target_id,comparator_id,outcome_id,analysis_id,rr,ci_95_lb,ci_95_ub,p,i_2,log_rr,se_log_rr,target_subjects,comparator_subjects,target_days,comparator_days,target_outcomes,comparator_outcomes,calibrated_p,calibrated_rr,calibrated_ci_95_lb,calibrated_ci_95_ub,calibrated_log_rr,calibrated_se_log_rr,database_id,source
1,3913,3912,72748,1,,,,,,,,3029,9834,912636,2920334,0,0,,,,,,,cdmpv532_211109,DCMC
2,3913,3912,73560,1,,,,,,,,3029,9834,912636,2920334,0,0,,,,,,,cdmpv532_211109,DCMC
3,3913,3912,81151,1,2.495,0.816,7.228,0.1,,0.914,0.557,3029,9834,911228,2918160,6,8,0.105,,,,,,cdmpv532_211109,DCMC
4,3913,3912,81634,1,,,,,,,,3029,9834,912636,2920334,0,0,,,,,,,cdmpv532_211109,DCMC
5,3913,3912,81893,1,0.26,0.014,1.316,0.243,,-1.347,1.154,3029,9834,912315,2916978,-5,13,0.279,,,,,,cdmpv532_211109,DCMC
6,3913,3912,134461,1,,,,,,,,3029,9834,912636,2920334,0,0,,,,,,,cdmpv532_211109,DCMC
7,3913,3912,140641,1,0.985,0.39,2.181,0.972,,-0.015,0.439,3029,9834,911425,2915195,7,28,0.866,,,,,,cdmpv532_211109,DCMC
8,3913,3912,141932,1,1.078,0.408,2.559,0.872,,0.075,0.468,3029,9834,910853,2916772,7,17,0.78,,,,,,cdmpv532_211109,DCMC
9,3913,3912,194083,1,,,,,,,,3029,9834,912636,2920334,0,0,,,,,,,cdmpv532_211109,DCMC
10,3913,3912,196236,1,1.312,0.721,2.301,0.359,,0.272,0.296,3029,9834,910622,2915315,18,42,0.369,,,,,,cdmpv532_211109,DCMC
11,3913,3912,253954,1,0.937,0.564,1.497,0.796,,-0.065,0.249,3029,9834,907995,2902195,22,77,0.836,,,,,,cdmpv532_211109,DCMC
12,3913,3912,254443,1,0.333,0.053,1.135,0.159,,-1.099,0.78,3029,9834,911999,2914901,-5,22,0.208,,,,,,cdmpv532_211109,DCMC
13,3913,3912,378427,1,1.023,0.839,1.239,0.821,,0.023,0.099,3029,9834,879223,2816194,146,448,0.683,,,,,,cdmpv532_211109,DCMC
14,3913,3912,380038,1,0.264,,3.191,,,-1.333,,3029,9834,912636,2920083,0,-5,,,,,,,cdmpv532_211109,DCMC
15,3913,3912,380706,1,,,,,,,,3029,9834,912636,2920334,0,0,,,,,,,cdmpv532_211109,DCMC
16,3913,3912,434327,1,,,,,,,,3029,9834,912636,2920334,0,0,,,,,,,cdmpv532_211109,DCMC
17,3913,3912,437264,1,,,,,,,,3029,9834,912636,2920334,0,0,,,,,,,cdmpv532_211109,DCMC
18,3913,3912,438688,1,10.446,1.331,211.594,0.07,,2.346,1.293,3029,9834,911884,2920334,-5,-5,0.066,,,,,,cdmpv532_211109,DCMC
19,3913,3912,439790,1,,,,,,,,3029,9834,912636,2920334,0,0,,,,,,,cdmpv532_211109,DCMC
20,3913,3912,440193,1,,,,,,,,3029,9834,912636,2920334,0,0,,,,,,,cdmpv532_211109,DCMC
21,3913,3912,443172,1,,,,,,,,3029,9834,912636,2920334,0,0,,,,,,,cdmpv532_211109,DCMC
22,3913,3912,4030042,1,1.252,0.632,2.367,0.504,,0.225,0.337,3029,9834,908297,2911537,14,33,0.473,,,,,,cdmpv532_211109,DCMC
23,3913,3912,4087647,1,0.56,0.351,0.857,0.011,,-0.58,0.228,3029,9834,906029,2887809,24,133,0.115,,,,,,cdmpv532_211109,DCMC
24,3913,3912,4115367,1,,,,,,,,3029,9834,912636,2920334,0,0,,,,,,,cdmpv532_211109,DCMC
25,3913,3912,4169984,1,1.785,0.967,3.219,0.059,,0.58,0.307,3029,9834,907716,2912392,19,32,0.092,,,,,,cdmpv532_211109,DCMC
26,3913,3912,4213540,1,,,,,,,,3029,9834,912636,2920334,0,0,,,,,,,cdmpv532_211109,DCMC
27,3913,3912,4234533,1,0.655,0.297,1.289,0.259,,-0.423,0.374,3029,9834,910937,2910435,9,47,0.426,,,,,,cdmpv532_211109,DCMC
28,3913,3912,4248870,1,0.773,0.408,1.372,0.405,,-0.258,0.31,3029,9834,908704,2906295,14,54,0.629,,,,,,cdmpv532_211109,DCMC
29,3913,3912,4291005,1,0.646,0.463,0.882,0.008,,-0.437,0.164,3029,9834,900326,2862337,48,229,0.191,,,,,,cdmpv532_211109,DCMC
30,3913,3912,36713918,1,,,,,,,,3029,9834,912636,2920334,0,0,,,,,,,cdmpv532_211109,DCMC
1,3913,3912,72748,1,,,,,,,,1285,4419,387913,1344992,0,0,,,,,,,cdmpv532_220131,Resultscdmpv532_220131
2,3913,3912,73560,1,,,,,,,,1285,4419,387913,1344992,0,0,,,,,,,cdmpv532_220131,Resultscdmpv532_220131
3,3913,3912,81151,1,1.149,0.057,9.013,0.915,,0.139,1.293,1285,4419,387887,1344445,-5,-5,0.956,,,,,,cdmpv532_220131,Resultscdmpv532_220131
4,3913,3912,81634,1,,,,,,,,1285,4419,387913,1344992,0,0,,,,,,,cdmpv532_220131,Resultscdmpv532_220131
5,3913,3912,81893,1,1.333,0.066,10.41,0.824,,0.288,1.291,1285,4419,387604,1344059,-5,-5,0.872,,,,,,cdmpv532_220131,Resultscdmpv532_220131
6,3913,3912,134461,1,2.828,0.109,73.452,0.532,,1.04,1.662,1285,4419,387861,1344770,-5,-5,0.564,,,,,,cdmpv532_220131,Resultscdmpv532_220131
7,3913,3912,140641,1,1.29,0.255,5.496,0.745,,0.255,0.784,1285,4419,387460,1343568,-5,6,0.823,,,,,,cdmpv532_220131,Resultscdmpv532_220131
8,3913,3912,141932,1,1.368,0.644,2.718,0.394,,0.313,0.367,1285,4419,386148,1339363,11,28,0.532,,,,,,cdmpv532_220131,Resultscdmpv532_220131
9,3913,3912,194083,1,,,,,,,,1285,4419,387913,1344992,0,0,,,,,,,cdmpv532_220131,Resultscdmpv532_220131
10,3913,3912,196236,1,2.0,0.786,4.781,0.132,,0.693,0.461,1285,4419,386975,1344027,8,13,0.189,,,,,,cdmpv532_220131,Resultscdmpv532_220131
11,3913,3912,253954,1,0.76,0.25,1.906,0.596,,-0.275,0.518,1285,4419,386634,1340663,5,20,0.502,,,,,,cdmpv532_220131,Resultscdmpv532_220131
12,3913,3912,254443,1,4.0,0.158,101.069,0.4,,1.386,1.648,1285,4419,387628,1344659,-5,-5,0.428,,,,,,cdmpv532_220131,Resultscdmpv532_220131
13,3913,3912,378427,1,1.114,0.922,1.339,0.257,,0.108,0.095,1285,4419,352120,1242722,177,496,0.633,,,,,,cdmpv532_220131,Resultscdmpv532_220131
14,3913,3912,380038,1,1.149,0.168,5.003,0.873,,0.139,0.866,1285,4419,387423,1343770,-5,6,0.935,,,,,,cdmpv532_220131,Resultscdmpv532_220131
15,3913,3912,380706,1,1.171,0.896,1.515,0.24,,0.158,0.134,1285,4419,370520,1293788,83,237,0.596,,,,,,cdmpv532_220131,Resultscdmpv532_220131
16,3913,3912,434327,1,,,,,,,,1285,4419,387913,1344992,0,0,,,,,,,cdmpv532_220131,Resultscdmpv532_220131
17,3913,3912,437264,1,,,,,,,,1285,4419,387913,1344992,0,0,,,,,,,cdmpv532_220131,Resultscdmpv532_220131
18,3913,3912,438688,1,,,,,,,,1285,4419,387913,1344992,0,0,,,,,,,cdmpv532_220131,Resultscdmpv532_220131
19,3913,3912,439790,1,,,,,,,,1285,4419,387913,1344992,0,0,,,,,,,cdmpv532_220131,Resultscdmpv532_220131
20,3913,3912,440193,1,,,,,,,,1285,4419,387913,1344992,0,0,,,,,,,cdmpv532_220131,Resultscdmpv532_220131
21,3913,3912,443172,1,,,,,,,,1285,4419,387913,1344992,0,0,,,,,,,cdmpv532_220131,Resultscdmpv532_220131
22,3913,3912,4030042,1,0.281,,2.175,,,-1.269,,1285,4419,387913,1343583,0,5,,,,,,,cdmpv532_220131,Resultscdmpv532_220131
23,3913,3912,4087647,1,0.891,0.567,1.353,0.603,,-0.115,0.222,1285,4419,381123,1319252,27,105,0.411,,,,,,cdmpv532_220131,Resultscdmpv532_220131
24,3913,3912,4115367,1,,,,,,,,1285,4419,387913,1344992,0,0,,,,,,,cdmpv532_220131,Resultscdmpv532_220131
25,3913,3912,4169984,1,0.589,0.17,1.567,0.35,,-0.53,0.567,1285,4419,386989,1340296,5,24,0.289,,,,,,cdmpv532_220131,Resultscdmpv532_220131
26,3913,3912,4213540,1,,,,,,,,1285,4419,387913,1344992,0,0,,,,,,,cdmpv532_220131,Resultscdmpv532_220131
27,3913,3912,4234533,1,0.273,,0.92,,,-1.3,,1285,4419,387913,1342617,0,12,,,,,,,cdmpv532_220131,Resultscdmpv532_220131
28,3913,3912,4248870,1,0.301,0.017,1.51,0.297,,-1.202,1.151,1285,4419,387592,1341198,-5,13,0.268,,,,,,cdmpv532_220131,Resultscdmpv532_220131
29,3913,3912,4291005,1,0.608,0.262,1.242,0.21,,-0.498,0.397,1285,4419,386180,1335154,8,41,0.156,,,,,,cdmpv532_220131,Resultscdmpv532_220131
30,3913,3912,36713918,1,,,,,,,,1285,4419,387913,1344992,0,0,,,,,,,cdmpv532_220131,Resultscdmpv532_220131
